Gmt time,Open,High,Low,Close,Volume
08.10.2024 15:00:00.000,2620.925,2620.935,2604.575,2612.825,6463714.0257
08.10.2024 16:00:00.000,2612.805,2616.065,2606.595,2608.885,3974289.9984
08.10.2024 17:00:00.000,2608.915,2617.975,2605.325,2614.418,3186619.9997999994
08.10.2024 18:00:00.000,2614.418,2616.875,2613.715,2615.638,3180390.002000001
08.10.2024 19:00:00.000,2615.585,2623.485,2614.798,2622.815,3471949.979800001
08.10.2024 20:00:00.000,2622.905,2623.018,2618.785,2621.385,1511729.9975999992
08.10.2024 21:00:00.000,2621.385,2621.385,2621.385,2621.385,0
08.10.2024 22:00:00.000,2620.638,2622.205,2620.444,2621.835,470309.9979
08.10.2024 23:00:00.000,2621.855,2623.665,2621.005,2621.865,930209.9992000002
09.10.2024 00:00:00.000,2621.835,2623.095,2620.838,2621.048,986059.9954999998
09.10.2024 01:00:00.000,2621.035,2624.085,2618.225,2619.858,2616480.0134
09.10.2024 02:00:00.000,2619.805,2620.225,2616.665,2618.278,2568510.001600001
09.10.2024 03:00:00.000,2618.265,2618.805,2614.735,2617.085,2405639.9966000007
09.10.2024 04:00:00.000,2617.085,2618.495,2615.355,2615.855,1669080.0059999996
09.10.2024 05:00:00.000,2615.855,2624.165,2615.585,2619.575,3386249.9953999985
09.10.2024 06:00:00.000,2619.585,2619.585,2610.474,2612.564,3848640.0097999997
09.10.2024 07:00:00.000,2612.595,2615.505,2608.974,2611.515,2125070.0046
09.10.2024 08:00:00.000,2611.538,2617.225,2610.345,2616.175,1688610.0070999998
09.10.2024 09:00:00.000,2616.165,2618.505,2614.538,2617.905,1630779.9964000003
09.10.2024 10:00:00.000,2617.905,2621.365,2615.915,2620.985,1090076.9984999998
09.10.2024 11:00:00.000,2620.945,2622.258,2616.845,2618.885,1334400.0009999995
09.10.2024 12:00:00.000,2618.908,2622.225,2615.248,2618.765,2115819.9944
09.10.2024 13:00:00.000,2618.765,2620.578,2606.815,2609.535,5904799.982799999
09.10.2024 14:00:00.000,2609.485,2611.785,2605.185,2609.725,4239830.020800001
09.10.2024 15:00:00.000,2609.675,2617.755,2609.385,2614.705,2424239.9947999995
09.10.2024 16:00:00.000,2614.715,2615.645,2607.665,2608.585,2440029.982999999
09.10.2024 17:00:00.000,2608.585,2609.815,2606.385,2609.578,1538720.0107999998
09.10.2024 18:00:00.000,2609.664,2610.918,2605.045,2606.265,1794559.9981999998
09.10.2024 19:00:00.000,2606.305,2610.095,2606.195,2609.038,1433169.9965999997
09.10.2024 20:00:00.000,2609.055,2609.298,2606.788,2607.465,812450.0030999997
09.10.2024 21:00:00.000,2607.465,2607.465,2607.465,2607.465,0
09.10.2024 22:00:00.000,2606.828,2608.825,2606.828,2608.745,508860.0014
09.10.2024 23:00:00.000,2608.775,2608.775,2608.155,2608.645,56609.9998
10.10.2024 00:00:00.000,2606.925,2610.085,2605.785,2609.208,1782520.006
10.10.2024 01:00:00.000,2609.188,2612.345,2606.655,2608.945,2582899.9998999997
10.10.2024 02:00:00.000,2608.915,2615.465,2607.865,2615.095,2452170.0032999995
10.10.2024 03:00:00.000,2615.095,2616.785,2611.305,2611.615,2872589.989100001
10.10.2024 04:00:00.000,2611.545,2614.585,2611.398,2613.725,908100.0034999998
10.10.2024 05:00:00.000,2613.785,2615.395,2612.318,2613.168,1315809.9953000003
10.10.2024 06:00:00.000,2613.124,2616.255,2610.465,2612.335,2228059.9981999993
10.10.2024 07:00:00.000,2612.345,2616.915,2610.125,2616.605,2473020.0024
10.10.2024 08:00:00.000,2616.635,2617.195,2613.415,2615.328,1163379.9995000006
10.10.2024 09:00:00.000,2615.395,2618.415,2614.165,2617.095,1564190.0008999996
10.10.2024 10:00:00.000,2617.095,2618.365,2615.717,2617.835,1608030.0029000007
10.10.2024 11:00:00.000,2617.885,2618.778,2611.135,2612.915,3281480.0016000005
10.10.2024 12:00:00.000,2612.915,2627.148,2601.734,2624.898,8601310.001699999
10.10.2024 13:00:00.000,2624.924,2627.828,2615.628,2626.568,11267333.991799995
10.10.2024 14:00:00.000,2626.575,2629.564,2622.724,2625.325,8710299.998399999
10.10.2024 15:00:00.000,2625.314,2626.038,2618.665,2623.475,5159239.9775
10.10.2024 16:00:00.000,2623.505,2629.015,2618.638,2619.158,3570944.9880999993
10.10.2024 17:00:00.000,2619.105,2626.145,2616.365,2623.688,4187559.9943
10.10.2024 18:00:00.000,2623.675,2629.018,2623.195,2626.358,2389249.9971000007
10.10.2024 19:00:00.000,2626.308,2631.308,2625.848,2629.048,2564820.0046000006
10.10.2024 20:00:00.000,2629.078,2631.435,2628.725,2629.595,979859.9995
10.10.2024 21:00:00.000,2629.595,2629.595,2629.595,2629.595,0
10.10.2024 22:00:00.000,2629.098,2629.675,2627.995,2628.065,330800.0015000001
10.10.2024 23:00:00.000,2628.105,2635.855,2628.075,2633.005,1373160.0044999998
11.10.2024 00:00:00.000,2633.065,2634.265,2631.975,2633.715,3204659.9975999994
11.10.2024 01:00:00.000,2633.735,2637.835,2632.755,2637.685,3237070.0124000004
11.10.2024 02:00:00.000,2637.615,2643.965,2635.095,2642.275,2228570.0013
11.10.2024 03:00:00.000,2642.215,2645.958,2640.508,2645.364,1534069.9959999996
11.10.2024 04:00:00.000,2645.355,2645.925,2643.798,2645.515,678420.0015999998
11.10.2024 05:00:00.000,2645.405,2645.815,2643.055,2644.635,1112939.9935
