Local time,Open,High,Low,Close,Volume
03.09.2024 12:45:00.000 GMT+0300,2502.858,2502.858,2500.788,2500.838,381920.00619999995
03.09.2024 13:00:00.000 GMT+0300,2500.868,2500.868,2498.588,2499.565,559690.0042000001
03.09.2024 13:15:00.000 GMT+0300,2499.535,2499.565,2494.788,2495.435,676430.0074000001
03.09.2024 13:30:00.000 GMT+0300,2495.425,2495.575,2492.545,2494.445,532505.0009
03.09.2024 13:45:00.000 GMT+0300,2494.455,2497.338,2494.045,2497.215,608359.9961
03.09.2024 14:00:00.000 GMT+0300,2497.215,2499.855,2496.898,2499.405,384209.99720000004
03.09.2024 14:15:00.000 GMT+0300,2499.405,2501.485,2494.735,2495.025,576370.0009
03.09.2024 14:30:00.000 GMT+0300,2495.195,2496.055,2492.015,2492.065,388640.0031
03.09.2024 14:45:00.000 GMT+0300,2492.075,2492.075,2484.575,2489.558,1213510.003
03.09.2024 15:00:00.000 GMT+0300,2489.558,2502.034,2486.998,2497.878,1977889.9960000003
03.09.2024 15:15:00.000 GMT+0300,2497.878,2498.525,2492.365,2493.098,650810.0014
03.09.2024 15:30:00.000 GMT+0300,2493.098,2496.335,2491.945,2494.958,811020.0055
03.09.2024 15:45:00.000 GMT+0300,2494.958,2495.638,2492.295,2493.105,678750.0046
03.09.2024 16:00:00.000 GMT+0300,2493.035,2497.515,2492.455,2493.778,1078240.0071
03.09.2024 16:15:00.000 GMT+0300,2493.755,2494.195,2490.855,2492.815,746800.0034999999
03.09.2024 16:30:00.000 GMT+0300,2492.774,2493.795,2480.145,2481.575,1358410.0044999998
03.09.2024 16:45:00.000 GMT+0300,2481.575,2484.165,2475.375,2479.608,1403249.9901
03.09.2024 17:00:00.000 GMT+0300,2479.618,2485.485,2475.925,2481.005,1498319.9908999999
03.09.2024 17:15:00.000 GMT+0300,2481.005,2481.625,2473.245,2477.735,1526310.0041999999
03.09.2024 17:30:00.000 GMT+0300,2477.705,2482.904,2477.068,2481.255,768329.9854
03.09.2024 17:45:00.000 GMT+0300,2481.274,2481.605,2477.128,2478.218,651880.0034999999
03.09.2024 18:00:00.000 GMT+0300,2478.218,2481.665,2477.095,2480.228,621410.003
03.09.2024 18:15:00.000 GMT+0300,2480.164,2482.835,2478.528,2482.128,767510.0005
03.09.2024 18:30:00.000 GMT+0300,2482.128,2484.945,2481.858,2484.145,595799.9993
03.09.2024 18:45:00.000 GMT+0300,2484.205,2489.405,2483.905,2488.285,862789.9959
03.09.2024 19:00:00.000 GMT+0300,2488.285,2488.885,2485.685,2488.445,489099.998
03.09.2024 19:15:00.000 GMT+0300,2488.545,2488.618,2485.985,2486.445,465169.99960000004
03.09.2024 19:30:00.000 GMT+0300,2486.545,2487.005,2484.975,2485.965,482329.99999999994
03.09.2024 19:45:00.000 GMT+0300,2485.965,2486.345,2483.808,2486.008,450699.99789999996
03.09.2024 20:00:00.000 GMT+0300,2485.825,2488.005,2485.388,2487.098,734459.9998999999
03.09.2024 20:15:00.000 GMT+0300,2487.088,2491.925,2487.088,2491.125,704239.9979000001
03.09.2024 20:30:00.000 GMT+0300,2491.095,2491.835,2488.985,2491.745,351040.0029
03.09.2024 20:45:00.000 GMT+0300,2491.745,2491.955,2489.195,2489.388,249859.99889999998
03.09.2024 21:00:00.000 GMT+0300,2489.365,2489.398,2487.505,2488.088,400739.99950000003
03.09.2024 21:15:00.000 GMT+0300,2488.085,2489.868,2487.565,2489.175,439029.9992
03.09.2024 21:30:00.000 GMT+0300,2489.155,2489.308,2486.938,2488.025,378989.9990999999
03.09.2024 21:45:00.000 GMT+0300,2487.974,2489.348,2487.225,2489.268,245439.99879999997
03.09.2024 22:00:00.000 GMT+0300,2489.175,2492.488,2488.885,2491.718,369880.002
03.09.2024 22:15:00.000 GMT+0300,2491.698,2493.918,2491.118,2493.818,447329.9943
03.09.2024 22:30:00.000 GMT+0300,2493.815,2494.295,2491.068,2492.278,601380
03.09.2024 22:45:00.000 GMT+0300,2492.245,2492.705,2491.798,2491.978,459099.9912
03.09.2024 23:00:00.000 GMT+0300,2491.978,2492.308,2491.248,2491.868,230250
03.09.2024 23:15:00.000 GMT+0300,2491.868,2492.198,2491.478,2491.855,134599.9991
03.09.2024 23:30:00.000 GMT+0300,2491.805,2492.898,2491.578,2492.218,197910.00209999998
03.09.2024 23:45:00.000 GMT+0300,2492.208,2493.055,2491.755,2492.665,151009.9998
04.09.2024 01:00:00.000 GMT+0300,2492.495,2493.365,2491.885,2492.304,197189.9988
04.09.2024 01:15:00.000 GMT+0300,2492.345,2493.035,2492.104,2492.965,98739.99949999999
04.09.2024 01:30:00.000 GMT+0300,2492.995,2494.275,2492.585,2493.378,267509.99960000004
04.09.2024 01:45:00.000 GMT+0300,2493.385,2493.564,2492.878,2492.964,131949.9994
04.09.2024 02:00:00.000 GMT+0300,2492.964,2493.065,2492.135,2492.734,155129.9998
04.09.2024 02:15:00.000 GMT+0300,2492.734,2494.524,2492.645,2494.145,173310.0011
04.09.2024 02:30:00.000 GMT+0300,2494.155,2494.365,2493.555,2493.685,62910.0004
04.09.2024 02:45:00.000 GMT+0300,2493.715,2493.874,2492.475,2493.155,192390.00180000003
04.09.2024 03:00:00.000 GMT+0300,2493.115,2494.915,2492.665,2493.035,315159.99879999994
04.09.2024 03:15:00.000 GMT+0300,2493.025,2494.458,2492.635,2493.118,451549.9974
04.09.2024 03:30:00.000 GMT+0300,2493.075,2493.885,2492.098,2492.735,462999.996
04.09.2024 03:45:00.000 GMT+0300,2492.755,2494.415,2492.055,2492.238,429889.9974
04.09.2024 04:00:00.000 GMT+0300,2492.165,2492.845,2491.535,2492.785,360410.0029000001
04.09.2024 04:15:00.000 GMT+0300,2492.835,2493.715,2491.155,2493.615,489319.99689999997
04.09.2024 04:30:00.000 GMT+0300,2493.705,2494.275,2491.915,2493.718,973880.0077000001
04.09.2024 04:45:00.000 GMT+0300,2493.725,2494.335,2491.805,2493.285,671939.9978
04.09.2024 05:00:00.000 GMT+0300,2493.275,2493.785,2492.268,2493.158,630939.9975000002
04.09.2024 05:15:00.000 GMT+0300,2493.258,2493.584,2492.538,2493.265,242579.99759999997
04.09.2024 05:30:00.000 GMT+0300,2493.245,2496.835,2493.245,2495.668,393389.99989999994
04.09.2024 05:45:00.000 GMT+0300,2495.645,2496.004,2494.485,2495.165,445060.00590000005
04.09.2024 06:00:00.000 GMT+0300,2495.165,2496.405,2494.965,2495.468,217559.99959999998
04.09.2024 06:15:00.000 GMT+0300,2495.468,2495.588,2494.195,2494.195,169370.00189999997
04.09.2024 06:30:00.000 GMT+0300,2494.245,2494.475,2493.375,2494.265,98399.99970000001
04.09.2024 06:45:00.000 GMT+0300,2494.265,2495.365,2494.265,2494.945,102299.99909999999
04.09.2024 07:00:00.000 GMT+0300,2494.955,2495.435,2494.345,2495.195,80699.99889999999
04.09.2024 07:15:00.000 GMT+0300,2495.215,2495.565,2494.435,2494.805,112190.00050000001
04.09.2024 07:30:00.000 GMT+0300,2494.825,2496.535,2494.385,2496.385,157100.00070000003
04.09.2024 07:45:00.000 GMT+0300,2496.385,2496.625,2495.055,2495.785,102149.9998
04.09.2024 08:00:00.000 GMT+0300,2495.785,2495.935,2494.305,2494.815,148199.9983
04.09.2024 08:15:00.000 GMT+0300,2494.805,2495.745,2494.585,2495.645,148389.9981
04.09.2024 08:30:00.000 GMT+0300,2495.605,2496.495,2494.015,2494.595,602629.9968000001
04.09.2024 08:45:00.000 GMT+0300,2494.615,2495.385,2492.625,2493.008,507710.0031
04.09.2024 09:00:00.000 GMT+0300,2493.008,2493.265,2491.265,2491.425,388049.9993000001
04.09.2024 09:15:00.000 GMT+0300,2491.385,2492.325,2489.468,2489.468,759350.0037000001
04.09.2024 09:30:00.000 GMT+0300,2489.345,2489.635,2485.465,2487.375,1304249.9983
04.09.2024 09:45:00.000 GMT+0300,2487.365,2487.895,2483.555,2484.145,540599.9960999999
04.09.2024 10:00:00.000 GMT+0300,2484.145,2487.835,2483.855,2487.665,521920.00289999996
04.09.2024 10:15:00.000 GMT+0300,2487.665,2488.115,2483.255,2483.615,1232219.9977000002
04.09.2024 10:30:00.000 GMT+0300,2483.645,2486.005,2482.865,2484.105,800720.0007000001
04.09.2024 10:45:00.000 GMT+0300,2484.075,2484.808,2481.885,2482.045,475600.0004
04.09.2024 11:00:00.000 GMT+0300,2482.045,2483.195,2479.985,2480.255,527440.0058
04.09.2024 11:15:00.000 GMT+0300,2480.255,2481.335,2478.865,2480.715,514500.0014
04.09.2024 11:30:00.000 GMT+0300,2480.715,2481.595,2477.000,2477.395,714950.0067000001
04.09.2024 11:45:00.000 GMT+0300,2477.368,2477.385,2472.438,2473.175,791349.9996
04.09.2024 12:00:00.000 GMT+0300,2473.185,2476.175,2471.718,2474.935,639760.0041
04.09.2024 12:15:00.000 GMT+0300,2474.925,2475.285,2473.255,2474.285,874410.0017000001
04.09.2024 12:30:00.000 GMT+0300,2474.285,2479.595,2474.085,2478.775,521159.9954000001
04.09.2024 12:45:00.000 GMT+0300,2478.825,2483.175,2478.518,2481.505,687909.9905999999
04.09.2024 13:00:00.000 GMT+0300,2481.505,2484.205,2480.975,2483.025,832189.9996
04.09.2024 13:15:00.000 GMT+0300,2483.025,2485.425,2482.345,2484.255,586629.9951000001
04.09.2024 13:30:00.000 GMT+0300,2484.235,2488.968,2484.134,2488.018,667220.0002
04.09.2024 13:45:00.000 GMT+0300,2488.048,2489.834,2487.258,2488.875,1031190.0005
04.09.2024 14:00:00.000 GMT+0300,2488.865,2491.085,2487.368,2489.935,1090569.9989
04.09.2024 14:15:00.000 GMT+0300,2489.905,2490.855,2487.678,2490.855,725219.9893
04.09.2024 14:30:00.000 GMT+0300,2490.854,2491.045,2486.615,2488.105,645829.9979000001
04.09.2024 14:45:00.000 GMT+0300,2488.035,2489.448,2487.635,2489.085,325030.0019
04.09.2024 15:00:00.000 GMT+0300,2489.085,2490.925,2488.135,2489.628,736469.9914000002
04.09.2024 15:15:00.000 GMT+0300,2489.638,2490.448,2486.155,2486.635,1153860.0080999997
04.09.2024 15:30:00.000 GMT+0300,2486.645,2491.025,2485.765,2490.205,804619.9959000002
04.09.2024 15:45:00.000 GMT+0300,2490.218,2490.408,2485.375,2486.445,1032979.9951000001
04.09.2024 16:00:00.000 GMT+0300,2486.445,2488.855,2485.045,2487.665,1112910.0063
04.09.2024 16:15:00.000 GMT+0300,2487.705,2489.805,2485.024,2486.125,794359.9969999999
04.09.2024 16:30:00.000 GMT+0300,2486.255,2489.965,2485.115,2485.745,1235350.009
04.09.2024 16:45:00.000 GMT+0300,2485.714,2486.525,2481.915,2485.075,1332769.9899
04.09.2024 17:00:00.000 GMT+0300,2485.115,2499.274,2484.455,2491.414,2736450.0163999996
04.09.2024 17:15:00.000 GMT+0300,2491.444,2493.235,2488.208,2492.008,1585999.9993
04.09.2024 17:30:00.000 GMT+0300,2492.034,2499.435,2492.034,2498.574,1553549.9975
04.09.2024 17:45:00.000 GMT+0300,2498.604,2500.145,2495.698,2496.118,1906259.9913
04.09.2024 18:00:00.000 GMT+0300,2496.118,2498.255,2493.875,2495.925,731529.9995
04.09.2024 18:15:00.000 GMT+0300,2495.965,2497.585,2494.515,2495.075,861079.9999999999
04.09.2024 18:30:00.000 GMT+0300,2495.074,2495.215,2492.678,2494.735,781429.9984999999
04.09.2024 18:45:00.000 GMT+0300,2494.735,2495.424,2493.268,2493.938,503229.9968000001
04.09.2024 19:00:00.000 GMT+0300,2493.915,2496.495,2493.015,2495.218,543789.9968
04.09.2024 19:15:00.000 GMT+0300,2495.214,2496.714,2494.318,2495.918,505590.00020000007
04.09.2024 19:30:00.000 GMT+0300,2495.948,2497.848,2495.325,2496.425,600939.9919
04.09.2024 19:45:00.000 GMT+0300,2496.428,2496.955,2495.215,2496.604,779819.9894999999
04.09.2024 20:00:00.000 GMT+0300,2496.635,2497.195,2496.138,2496.325,557819.9998999999
04.09.2024 20:15:00.000 GMT+0300,2496.285,2496.418,2494.415,2494.725,280310.00059999997
04.09.2024 20:30:00.000 GMT+0300,2494.674,2494.848,2493.788,2494.148,492370.00380000006
04.09.2024 20:45:00.000 GMT+0300,2494.155,2494.755,2493.388,2493.848,457899.9933000001
04.09.2024 21:00:00.000 GMT+0300,2493.848,2494.105,2492.315,2493.448,457079.9974
04.09.2024 21:15:00.000 GMT+0300,2493.415,2494.438,2492.785,2493.595,260789.9988
04.09.2024 21:30:00.000 GMT+0300,2493.575,2493.635,2492.615,2493.305,271299.9991
04.09.2024 21:45:00.000 GMT+0300,2493.318,2495.475,2492.965,2494.585,289189.9999
04.09.2024 22:00:00.000 GMT+0300,2494.585,2494.695,2492.585,2493.365,751659.9966999998
04.09.2024 22:15:00.000 GMT+0300,2493.365,2494.445,2493.245,2493.845,856079.9883
04.09.2024 22:30:00.000 GMT+0300,2493.815,2493.855,2491.415,2491.835,880929.999
04.09.2024 22:45:00.000 GMT+0300,2491.865,2493.325,2491.855,2493.275,874689.998
04.09.2024 23:00:00.000 GMT+0300,2493.275,2494.778,2492.835,2494.698,434969.9981
04.09.2024 23:15:00.000 GMT+0300,2494.655,2494.798,2493.788,2494.625,291359.9991
04.09.2024 23:30:00.000 GMT+0300,2494.625,2496.048,2494.475,2495.548,266869.999
04.09.2024 23:45:00.000 GMT+0300,2495.525,2496.825,2495.225,2495.285,246890.00000000003
05.09.2024 01:00:00.000 GMT+0300,2494.725,2495.985,2494.398,2494.694,114360.0004
05.09.2024 01:15:00.000 GMT+0300,2494.694,2495.618,2494.604,2494.635,61440.0001
05.09.2024 01:30:00.000 GMT+0300,2494.695,2495.475,2494.575,2495.325,80490.0006
05.09.2024 01:45:00.000 GMT+0300,2495.225,2495.325,2494.935,2495.185,26370.0004
05.09.2024 02:00:00.000 GMT+0300,2495.188,2495.925,2494.925,2495.785,106530.00030000001
05.09.2024 02:15:00.000 GMT+0300,2495.795,2496.035,2495.335,2495.735,85529.9987
05.09.2024 02:30:00.000 GMT+0300,2495.775,2496.785,2495.685,2495.855,197700.0006
05.09.2024 02:45:00.000 GMT+0300,2495.825,2496.068,2494.985,2495.695,334380.00259999995
05.09.2024 03:00:00.000 GMT+0300,2495.768,2496.425,2494.935,2495.605,439410.00110000005
05.09.2024 03:15:00.000 GMT+0300,2495.565,2496.145,2494.628,2495.045,267959.9978
05.09.2024 03:30:00.000 GMT+0300,2495.045,2496.098,2494.388,2495.114,290099.99889999995
05.09.2024 03:45:00.000 GMT+0300,2495.164,2495.525,2494.355,2495.055,339770.0027
05.09.2024 04:00:00.000 GMT+0300,2495.075,2497.398,2494.385,2495.808,670380.0018000001
05.09.2024 04:15:00.000 GMT+0300,2495.865,2499.174,2495.565,2497.925,990929.9947
05.09.2024 04:30:00.000 GMT+0300,2497.935,2498.124,2495.645,2497.485,870510.0061000002
05.09.2024 04:45:00.000 GMT+0300,2497.515,2497.705,2495.675,2496.305,372109.996
05.09.2024 05:00:00.000 GMT+0300,2496.265,2497.345,2496.115,2496.395,323880.00179999997
05.09.2024 05:15:00.000 GMT+0300,2496.395,2497.978,2496.115,2497.728,166079.9992
